sentence,PIE,true_idioms,is_figurative,variant_number,Valid,variant_sentence,tokens,tags,tag_ids
eine an den Haaren herbeigezogene Behauptung,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,1,V,"Am Tatort fanden die Ermittler deutliche Schleifspuren, und die Gerichtsmedizinerin vermutete, das Opfer sei an den Haaren gezerrt worden, was die Theorie des Hauptverdächtigen für den Kommissar zu einer an den Haaren herbeigezogene Behauptung machte.","['Am', 'Tatort', 'fanden', 'die', 'Ermittler', 'deutliche', 'Schleifspuren', ',', 'und', 'die', 'Gerichtsmedizinerin', 'vermutete', ',', 'das', 'Opfer', 'sei', 'an', 'den', 'Haaren', 'gezerrt', 'worden', ',', 'was', 'die', 'Theorie', 'des', 'Hauptverdächtigen', 'für', 'den', 'Kommissar', 'zu', 'einer', 'an', 'den', 'Haaren', 'herbeigezogene', 'Behauptung', 'machte', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0]"
eine an den Haaren herbeigezogene Behauptung,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,2,V,"Der Puppenmacher erklärte, wie er die Haarsträhnen durch den Vinylkopf zog, während er gleichzeitig die abenteuerliche Geschichte erzählte, die er sich zur Herkunft der Puppe ausgedacht hatte, was sein Lehrling nur als eine an den Haaren herbeigezogene Behauptung abtat.","['Der', 'Puppenmacher', 'erklärte', ',', 'wie', 'er', 'die', 'Haarsträhnen', 'durch', 'den', 'Vinylkopf', 'zog', ',', 'während', 'er', 'gleichzeitig', 'die', 'abenteuerliche', 'Geschichte', 'erzählte', ',', 'die', 'er', 'sich', 'zur', 'Herkunft', 'der', 'Puppe', 'ausgedacht', 'hatte', ',', 'was', 'sein', 'Lehrling', 'nur', 'als', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Behauptung', 'abtat', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0]"
eine an den Haaren herbeigezogene Behauptung,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,3,V,"Im Seminar über mittelalterliche Rechtspraktiken wurde die Strafe diskutiert, bei der jemand an den Haaren zum Pranger geschleift wurde, woraufhin der Professor die populäre Theorie über deren häufige Anwendung als eine an den Haaren herbeigezogene Behauptung entlarvte.","['Im', 'Seminar', 'über', 'mittelalterliche', 'Rechtspraktiken', 'wurde', 'die', 'Strafe', 'diskutiert', ',', 'bei', 'der', 'jemand', 'an', 'den', 'Haaren', 'zum', 'Pranger', 'geschleift', 'wurde', ',', 'woraufhin', 'der', 'Professor', 'die', 'populäre', 'Theorie', 'über', 'deren', 'häufige', 'Anwendung', 'als', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Behauptung', 'entlarvte', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0]"
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],[],False,1,V,"Innerhalb der autonomen Gemeinschaft in dem besetzten Haus gilt nur der ungeschriebene Solidaritätskodex als Legitimation für das Zusammenleben, eine Art Vertrauensbeweis, doch die beiden Neuen scheinen sich nicht darum zu scheren, sie wohnen ohne Trauschein zusammen.","['Innerhalb', 'der', 'autonomen', 'Gemeinschaft', 'in', 'dem', 'besetzten', 'Haus', 'gilt', 'nur', 'der', 'ungeschriebene', 'Solidaritätskodex', 'als', 'Legitimation', 'für', 'das', 'Zusammenleben', ',', 'eine', 'Art', 'Vertrauensbeweis', ',', 'doch', 'die', 'beiden', 'Neuen', 'scheinen', 'sich', 'nicht', 'darum', 'zu', 'scheren', ',', 'sie', 'wohnen', 'ohne', 'Trauschein', 'zusammen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],[],False,2,V,"In der eingeschworenen Gemeinschaft von Extremkletterern, wo man sich das Recht auf eine gemeinsame Hütte erst durch die Bewältigung einer gefährlichen Route, dem sogenannten 'Wagnis-Schein', verdienen muss, ignoriert ein Paar diese Tradition, sie wohnen ohne Trauschein zusammen.","['In', 'der', 'eingeschworenen', 'Gemeinschaft', 'von', 'Extremkletterern', ',', 'wo', 'man', 'sich', 'das', 'Recht', 'auf', 'eine', 'gemeinsame', 'Hütte', 'erst', 'durch', 'die', 'Bewältigung', 'einer', 'gefährlichen', 'Route', ',', 'dem', 'sogenannten', ""'"", 'Wagnis', '-', 'Schein', ""'"", ',', 'verdienen', 'muss', ',', 'ignoriert', 'ein', 'Paar', 'diese', 'Tradition', ',', 'sie', 'wohnen', 'ohne', 'Trauschein', 'zusammen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],[],False,3,V,"In dieser äußerst konservativen Kleinstadt, in der der gute Schein alles bedeutet und man für ein Zusammenleben quasi eine offizielle Bestätigung der Seriosität benötigt, um Gerede zu vermeiden, erregt ein neues Paar Aufsehen, sie wohnen ohne Trauschein zusammen.","['In', 'dieser', 'äußerst', 'konservativen', 'Kleinstadt', ',', 'in', 'der', 'der', 'gute', 'Schein', 'alles', 'bedeutet', 'und', 'man', 'für', 'ein', 'Zusammenleben', 'quasi', 'eine', 'offizielle', 'Bestätigung', 'der', 'Seriosität', 'benötigt', ',', 'um', 'Gerede', 'zu', 'vermeiden', ',', 'erregt', 'ein', 'neues', 'Paar', 'Aufsehen', ',', 'sie', 'wohnen', 'ohne', 'Trauschein', 'zusammen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Vorbereitung ist die halbe Miete.,['halbe Miete'],['halbe Miete'],True,1,V,"Die beiden Studenten besprachen ihren Finanzplan für die neue Wohngemeinschaft; da der eine die Renovierungsarbeiten im Voraus übernahm und dies vertraglich als Eigenleistung angerechnet wurde, war für sie klar, Vorbereitung ist die halbe Miete.","['Die', 'beiden', 'Studenten', 'besprachen', 'ihren', 'Finanzplan', 'für', 'die', 'neue', 'Wohngemeinschaft', ';', 'da', 'der', 'eine', 'die', 'Renovierungsarbeiten', 'im', 'Voraus', 'übernahm', 'und', 'dies', 'vertraglich', 'als', 'Eigenleistung', 'angerechnet', 'wurde', ',', 'war', 'für', 'sie', 'klar', ',', 'Vorbereitung', 'ist', 'die', 'halbe', 'Miete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
Vorbereitung ist die halbe Miete.,['halbe Miete'],['halbe Miete'],True,2,V,"Beim angespannten Wohnungsmarkt in der Innenstadt erklärte der Makler den Bewerbern, dass ein detailliertes Finanzierungsportfolio und das Angebot einer Mietvorauszahlung entscheidend seien, denn bei diesem Eigentümer ist Vorbereitung ist die halbe Miete.","['Beim', 'angespannten', 'Wohnungsmarkt', 'in', 'der', 'Innenstadt', 'erklärte', 'der', 'Makler', 'den', 'Bewerbern', ',', 'dass', 'ein', 'detailliertes', 'Finanzierungsportfolio', 'und', 'das', 'Angebot', 'einer', 'Mietvorauszahlung', 'entscheidend', 'seien', ',', 'denn', 'bei', 'diesem', 'Eigentümer', 'ist', 'Vorbereitung', 'ist', 'die', 'halbe', 'Miete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
Vorbereitung ist die halbe Miete.,['halbe Miete'],['halbe Miete'],True,3,V,"Das Startup-Team arbeitete Tag und Nacht an der Präsentation für die Investoren, denn der Businessplan sah vor, dass ein erfolgreicher Pitch die Finanzierung für den neuen Büroraum sichern würde, und in ihrer Situation galt wirklich, Vorbereitung ist die halbe Miete.","['Das', 'Startup', '-', 'Team', 'arbeitete', 'Tag', 'und', 'Nacht', 'an', 'der', 'Präsentation', 'für', 'die', 'Investoren', ',', 'denn', 'der', 'Businessplan', 'sah', 'vor', ',', 'dass', 'ein', 'erfolgreicher', 'Pitch', 'die', 'Finanzierung', 'für', 'den', 'neuen', 'Büroraum', 'sichern', 'würde', ',', 'und', 'in', 'ihrer', 'Situation', 'galt', 'wirklich', ',', 'Vorbereitung', 'ist', 'die', 'halbe', 'Miete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
Das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen.,['einen Strick drehen'],['einen Strick drehen'],True,1,V,"Auf dem Mittelaltermarkt, direkt neben dem Stand des Seilers, der gerade Hanffasern sponn, flüsterte er seiner Tochter eine moderne Redewendung ins Ohr, woraufhin seine Frau besorgt blickte, doch das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen.","['Auf', 'dem', 'Mittelaltermarkt', ',', 'direkt', 'neben', 'dem', 'Stand', 'des', 'Seilers', ',', 'der', 'gerade', 'Hanffasern', 'sponn', ',', 'flüsterte', 'er', 'seiner', 'Tochter', 'eine', 'moderne', 'Redewendung', 'ins', 'Ohr', ',', 'woraufhin', 'seine', 'Frau', 'besorgt', 'blickte', ',', 'doch', 'das', 'war', 'eine', 'ganz', 'harmlose', 'Bemerkung', '.', 'Daraus', 'kann', 'dir', 'niemand', 'einen', 'Strick', 'drehen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]"
Das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen.,['einen Strick drehen'],['einen Strick drehen'],True,2,V,"Im Bastelkurs versuchte sie, aus dem brüchigen Stroh eine Kordel zu fertigen, was ihr Kollege mit leisem Spott kommentierte, aber das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen.","['Im', 'Bastelkurs', 'versuchte', 'sie', ',', 'aus', 'dem', 'brüchigen', 'Stroh', 'eine', 'Kordel', 'zu', 'fertigen', ',', 'was', 'ihr', 'Kollege', 'mit', 'leisem', 'Spott', 'kommentierte', ',', 'aber', 'das', 'war', 'eine', 'ganz', 'harmlose', 'Bemerkung', '.', 'Daraus', 'kann', 'dir', 'niemand', 'einen', 'Strick', 'drehen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]"
Das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen.,['einen Strick drehen'],['einen Strick drehen'],True,3,V,"Der Segellehrer zeigte dem Anfänger, wie man aus dem dünnen Tauwerk eine feste Schlinge legt, doch der Schüler äußerte nur frustriert, dass dies wohl nie etwas werde, das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen.","['Der', 'Segellehrer', 'zeigte', 'dem', 'Anfänger', ',', 'wie', 'man', 'aus', 'dem', 'dünnen', 'Tauwerk', 'eine', 'feste', 'Schlinge', 'legt', ',', 'doch', 'der', 'Schüler', 'äußerte', 'nur', 'frustriert', ',', 'dass', 'dies', 'wohl', 'nie', 'etwas', 'werde', ',', 'das', 'war', 'eine', 'ganz', 'harmlose', 'Bemerkung', '.', 'Daraus', 'kann', 'dir', 'niemand', 'einen', 'Strick', 'drehen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]"
"Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.",['über Nacht'],[],False,1,V,"Angesichts der eskalierenden Regierungskrise und der Notwendigkeit, schnell eine neue Kabinettsposition zu besetzen, Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.","['Angesichts', 'der', 'eskalierenden', 'Regierungskrise', 'und', 'der', 'Notwendigkeit', ',', 'schnell', 'eine', 'neue', 'Kabinettsposition', 'zu', 'besetzen', ',', 'Michael', 'Portillo', 'beschrieb', 'seine', 'derzeitige', 'Verwendung', ',', 'traf', 'den', 'Direktor', 'und', 'blieb', 'über', 'Nacht', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.",['über Nacht'],[],False,2,V,"Um den rasanten Aufstieg einer Medienpersönlichkeit zu illustrieren, deren Karriere sich nach nur einem einzigen Interview komplett wandelte, Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.","['Um', 'den', 'rasanten', 'Aufstieg', 'einer', 'Medienpersönlichkeit', 'zu', 'illustrieren', ',', 'deren', 'Karriere', 'sich', 'nach', 'nur', 'einem', 'einzigen', 'Interview', 'komplett', 'wandelte', ',', 'Michael', 'Portillo', 'beschrieb', 'seine', 'derzeitige', 'Verwendung', ',', 'traf', 'den', 'Direktor', 'und', 'blieb', 'über', 'Nacht', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.",['über Nacht'],[],False,3,V,"Der Plan für seine Einarbeitung war extrem aggressiv und auf sofortige Ergebnisse ausgelegt; Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.","['Der', 'Plan', 'für', 'seine', 'Einarbeitung', 'war', 'extrem', 'aggressiv', 'und', 'auf', 'sofortige', 'Ergebnisse', 'ausgelegt', ';', 'Michael', 'Portillo', 'beschrieb', 'seine', 'derzeitige', 'Verwendung', ',', 'traf', 'den', 'Direktor', 'und', 'blieb', 'über', 'Nacht', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
