sentence,PIE,true_idioms,is_figurative,tokens,tags,tag_ids,is_valid
A rock has broken the ice covering a lake.,['broken the ice'],[],False,"['A ', 'rock ', 'has ', 'broken ', 'the ', 'ice ', 'covering ', 'a ', 'lake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
The ship broke the ice all the way.,['broke the ice'],[],False,"['The ', 'ship ', 'broke ', 'the ', 'ice ', 'all ', 'the ', 'way', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",False
This is a perfect way to break the ice and start the conversation.,['break the ice'],['break the ice'],True,"['This ', 'is ', 'a ', 'perfect ', 'way ', 'to ', 'break ', 'the ', 'ice ', 'and ', 'start ', 'the ', 'conversation', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]",True
The bullet hit the book in his pocket.,['hit the book'],[],False,"['The ', 'bullet ', 'hit ', 'the ', 'book ', 'in ', 'his ', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I thought you rang the bell.,['rang the bell'],[],False,"['I ', 'thought ', 'you ', 'rang ', 'the ', 'bell', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0]",False
The patient rang the bell 20 minutes ago.,['rang the bell'],[],False,"['The ', 'patient ', 'rang ', 'the ', 'bell ', '20 ', 'minutes ', 'ago', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",True
balloons are floating up in the air.,['up in the air'],[],False,"['balloons ', 'are ', 'floating ', 'up ', 'in ', 'the ', 'air', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",True
Back muscles must be used to keep balance on the ball.,['on the ball'],[],False,"['Back ', 'muscles ', 'must ', 'be ', 'used ', 'to ', 'keep ', 'balance ', 'on ', 'the ', 'ball', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
Abdominals are used to keep balance on the ball and lift your arms.,['on the ball'],[],False,"['Abdominals ', 'are ', 'used ', 'to ', 'keep ', 'balance ', 'on ', 'the ', 'ball ', 'and ', 'lift ', 'your ', 'arms', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I think I can get over 100 dollars.,['get over'],[],False,"['I ', 'think ', 'I ', 'can ', 'get ', 'over ', '100 ', 'dollars', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I'd have a piece of cake.,['piece of cake'],[],False,"['I', ""'d "", 'have ', 'a ', 'piece ', 'of ', 'cake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",True
Would you like a piece of cake.,['piece of cake'],[],False,"['Would ', 'you ', 'like ', 'a ', 'piece ', 'of ', 'cake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",False
"Her aunt is a great cook, do you want a piece of cake?",['piece of cake'],[],False,"['Her ', 'aunt ', 'is ', 'a ', 'great ', 'cook', ', ', 'do ', 'you ', 'want ', 'a ', 'piece ', 'of ', 'cake', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
The test was a piece of cake!,['piece of cake'],['piece of cake'],True,"['The ', 'test ', 'was ', 'a ', 'piece ', 'of ', 'cake', '!']","['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 1, 2, 2, 0]",True
Bathing in hot water can be dangerous.,['in hot water'],[],False,"['Bathing ', 'in ', 'hot ', 'water ', 'can ', 'be ', 'dangerous', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",True
What are the effects of bathing in hot water?,['in hot water'],[],False,"['What ', 'are ', 'the ', 'effects ', 'of ', 'bathing ', 'in ', 'hot ', 'water', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
Is soaking in hot water good for us?,['in hot water'],[],False,"['Is ', 'soaking ', 'in ', 'hot ', 'water ', 'good ', 'for ', 'us', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",False
"I must have switched cups, this is not my cup of tea.",['not my cup of tea'],[],False,"['I ', 'must ', 'have ', 'switched ', 'cups', ', ', 'this ', 'is ', 'not ', 'my ', 'cup ', 'of ', 'tea', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
"This is not my cup of tea, it's yours, in fact I hate black tea.",['not my cup of tea'],[],False,"['This ', 'is ', 'not ', 'my ', 'cup ', 'of ', 'tea', ', ', 'it', ""'s "", 'yours', ', ', 'in ', 'fact ', 'I ', 'hate ', 'black ', 'tea', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I love bread and butter for breakfast.,['bread and butter'],[],False,"['I ', 'love ', 'bread ', 'and ', 'butter ', 'for ', 'breakfast', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",True
Here are your sardines with bread and butter.,['bread and butter'],[],False,"['Here ', 'are ', 'your ', 'sardines ', 'with ', 'bread ', 'and ', 'butter', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",True
What can I bring you? Maybe bread and butter?,['bread and butter'],[],False,"['What ', 'can ', 'I ', 'bring ', 'you', '? ', 'Maybe ', 'bread ', 'and ', 'butter', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
I only bought a lemon and two oranges.,['a lemon'],[],False,"['I ', 'only ', 'bought ', 'a ', 'lemon ', 'and ', 'two ', 'oranges', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",True
Would you please buy a lemon for my cake?,['a lemon'],[],False,"['Would ', 'you ', 'please ', 'buy ', 'a ', 'lemon ', 'for ', 'my ', 'cake', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I'd need you to buy a lemon and some sugar for tonight.,['a lemon'],[],False,"['I', ""'d "", 'need ', 'you ', 'to ', 'buy ', 'a ', 'lemon ', 'and ', 'some ', 'sugar ', 'for ', 'tonight', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
The submarine is getting into deep water.,['into deep water'],[],False,"['The ', 'submarine ', 'is ', 'getting ', 'into ', 'deep ', 'water', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",False
The fairy tale tells about a caste in the sky where a king and a queen live.,['caste in the sky'],[],False,"['The ', 'fairy ', 'tale ', 'tells ', 'about ', 'a ', 'caste ', 'in ', 'the ', 'sky ', 'where ', 'a ', 'king ', 'and ', 'a ', 'queen ', 'live', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
Ostriches bury their head in the sand.,['bury their head in the sand'],[],False,"['Ostriches ', 'bury ', 'their ', 'head ', 'in ', 'the ', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",True
Do some animals really bury their head in the sand?,['bury their head in the sand'],[],False,"['Do ', 'some ', 'animals ', 'really ', 'bury ', 'their ', 'head ', 'in ', 'the ', 'sand', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I am feeling under the weather today.,['under the weather'],['under the weather'],True,"['I ', 'am ', 'feeling ', 'under ', 'the ', 'weather ', 'today', '.']","['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']","[0, 0, 0, 1, 2, 2, 0, 0]",True
"To add insult to the injury, the man went away without helping us.",['To add insult to the injury'],['To add insult to the injury'],True,"['To ', 'add ', 'insult ', 'to ', 'the ', 'injury', ', ', 'the ', 'man ', 'went ', 'away ', 'without ', 'helping ', 'us', '.']","['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
"Break a leg dad, I hope you'll win!",['Break a leg'],['Break a leg'],True,"['Break ', 'a ', 'leg ', 'dad', ', ', 'I ', 'hope ', 'you', ""'ll "", 'win', '!']","['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",True
"By accepting both jobs, I killed two birds with one stone",['killed two birds with one stone'],['killed two birds with one stone'],True,"['By ', 'accepting ', 'both ', 'jobs', ', ', 'I ', 'killed ', 'two ', 'birds ', 'with ', 'one ', 'stone']","['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM']","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2]",True
"We're very tired now, let's call it a day.",['call it a day'],['call it a day'],True,"['We', ""'re "", 'very ', 'tired ', 'now', ', ', 'let', ""'s "", 'call ', 'it ', 'a ', 'day', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]",True
Let's go home and call it a day.,['call it a day'],['call it a day'],True,"['Let', ""'s "", 'go ', 'home ', 'and ', 'call ', 'it ', 'a ', 'day', '.']","['O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 1, 2, 2, 2, 0]",True
"Baby you gotta work hard, no pain no gain",['no pain no gain'],['no pain no gain'],True,"['Baby ', 'you ', 'got', 'ta ', 'work ', 'hard', ', ', 'no ', 'pain ', 'no ', 'gain']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM']","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2]",True
We go to the cinema once in a blue moon.,['once in a blue moon'],['once in a blue moon'],True,"['We ', 'go ', 'to ', 'the ', 'cinema ', 'once ', 'in ', 'a ', 'blue ', 'moon', '.']","['O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]",True
She goes to work once in a blue moon.,['once in a blue moon'],['once in a blue moon'],True,"['She ', 'goes ', 'to ', 'work ', 'once ', 'in ', 'a ', 'blue ', 'moon', '.']","['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 1, 2, 2, 2, 2, 0]",True
"When pigs fly, he'll treat people with respect.",['When pigs fly'],['When pigs fly'],True,"['When ', 'pigs ', 'fly', ', ', 'he', ""'ll "", 'treat ', 'people ', 'with ', 'respect', '.']","['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",True
"When pigs fly, he'll take out the trash.",['When pigs fly'],['When pigs fly'],True,"['When ', 'pigs ', 'fly', ', ', 'he', ""'ll "", 'take ', 'out ', 'the ', 'trash', '.']","['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",True
I let the cat out of the bag about my new girlfriend.,['let the cat out of the bag'],['let out the cat of the bag'],True,"['I ', 'let ', 'the ', 'cat ', 'out ', 'of ', 'the ', 'bag ', 'about ', 'my ', 'new ', 'girlfriend', '.']","['O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0]",True
Sam let the cat out of the bag about his new job.,['let the cat out of the bag'],['let out the cat of the bag'],True,"['Sam ', 'let ', 'the ', 'cat ', 'out ', 'of ', 'the ', 'bag ', 'about ', 'his ', 'new ', 'job', '.']","['O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0]",True
The police will turn a blind eye once.,['turn a blind eye'],['turn a blind eye'],True,"['The ', 'police ', 'will ', 'turn ', 'a ', 'blind ', 'eye ', 'once', '.']","['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']","[0, 0, 0, 1, 2, 2, 2, 0, 0]",True
Stop beating around the bush and tell me exactly what happened.,['beating around the bush'],['beating around the bush'],True,"['Stop ', 'beating ', 'around ', 'the ', 'bush ', 'and ', 'tell ', 'me ', 'exactly ', 'what ', 'happened', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
"Come on, spill the beans now, I wanna know!",['spill the beans'],['spill the beans'],True,"['Come ', 'on', ', ', 'spill ', 'the ', 'beans ', 'now', ', ', 'I ', 'wanna ', 'know', '!']","['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0]",True
Written tests are his Achilles' heel.,"[""Achilles ' heel""]","[""Achilles ' heel""]",True,"['Written ', 'tests ', 'are ', 'his ', 'Achilles', ""' "", 'heel', '.']","['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 1, 2, 2, 0]",True
"I think I don't need to tell you that, actions speak louder than words.",['actions speak louder than words'],['actions speak louder that words'],True,"['I ', 'think ', 'I ', 'do', ""n't "", 'need ', 'to ', 'tell ', 'you ', 'that', ', ', 'actions ', 'speak ', 'louder ', 'than ', 'words', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]",True
"Come on, you can do it, it's not rocket science!","[""it 's not rocket science""]","[""it 's not rocket science""]",True,"['Come ', 'on', ', ', 'you ', 'can ', 'do ', 'it', ', ', 'it', ""'s "", 'not ', 'rocket ', 'science', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]",True
"Eventually he did it, better late than never!",['better late than never'],['better late than never'],True,"['Eventually ', 'he ', 'did ', 'it', ', ', 'better ', 'late ', 'than ', 'never', '!']","['O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 1, 2, 2, 2, 0]",True
This doesn't make any sense. It's like comparing apples to oranges.,['comparing apples to oranges'],['comparing apples to oranges'],True,"['This ', 'does', ""n't "", 'make ', 'any ', 'sense', '. ', 'It', ""'s "", 'like ', 'comparing ', 'apples ', 'to ', 'oranges', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]",True
It's raining cats and dogs.,['raining cats and dogs'],['raining cats and dogs'],True,"['It', ""'s "", 'raining ', 'cats ', 'and ', 'dogs', '.']","['O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 1, 2, 2, 2, 0]",True
"After meeting him, she was walking on air.",['walking on air'],['walking on air'],True,"['After ', 'meeting ', 'him', ', ', 'she ', 'was ', 'walking ', 'on ', 'air', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 1, 2, 2, 0]",True
They asked me if we can go dutch.,['go dutch'],['go dutch'],True,"['They ', 'asked ', 'me ', 'if ', 'we ', 'can ', 'go ', 'dutch', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 1, 2, 0]",False
I really got a kick out of that clown's juggling act.,['got a kick out of'],['got a kick out of'],True,"['I ', 'really ', 'got ', 'a ', 'kick ', 'out ', 'of ', 'that ', 'clown', ""'s "", 'juggling ', 'act', '.']","['O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]",True
The old computer just doesn't hold a candle to the latest models.,['hold a candle'],['hold a candle'],True,"['The ', 'old ', 'computer ', 'just ', 'does', ""n't "", 'hold ', 'a ', 'candle ', 'to ', 'the ', 'latest ', 'models', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]",False
That guy sure can hold a grudge when something goes wrong.,['hold a grudge'],['hold a grudge'],True,"['That ', 'guy ', 'sure ', 'can ', 'hold ', 'a ', 'grudge ', 'when ', 'something ', 'goes ', 'wrong', '.']","['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]",True
Let me see if I can light a fire under the waiter to get our order sooner.,['light a fire under'],['light a fire under'],True,"['Let ', 'me ', 'see ', 'if ', 'I ', 'can ', 'light ', 'a ', 'fire ', 'under ', 'the ', 'waiter ', 'to ', 'get ', 'our ', 'order ', 'sooner', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",True
I need to get a move on if I'm going to arrive before dark.,['get a move on'],['get a move on'],True,"['I ', 'need ', 'to ', 'get ', 'a ', 'move ', 'on ', 'if ', 'I', ""'m "", 'going ', 'to ', 'arrive ', 'before ', 'dark', '.']","['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
The old horse finally kicked the bucket.,['kicked the bucket'],['kicked the bucket'],True,"['The ', 'old ', 'horse ', 'finally ', 'kicked ', 'the ', 'bucket', '.']","['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 1, 2, 2, 0]",True
Every year he resolves to turn over a new leaf and start exercising.,['turn over a new leaf'],['turn over a new leaf'],True,"['Every ', 'year ', 'he ', 'resolves ', 'to ', 'turn ', 'over ', 'a ', 'new ', 'leaf ', 'and ', 'start ', 'exercising', '.']","['O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0]",True
"Women are “woefully” under-represented in parliament, the courts and the boardroom, with new research showing that the glass ceiling is still holding back 6,000 women from the top 33,000 jobs in Britain.",['glass ceiling'],['glass ceiling'],True,"['Women ', 'are ', '“', 'woefully', '” ', 'under', '-', 'represented ', 'in ', 'parliament', ', ', 'the ', 'courts ', 'and ', 'the ', 'boardroom', ', ', 'with ', 'new ', 'research ', 'showing ', 'that ', 'the ', 'glass ', 'ceiling ', 'is ', 'still ', 'holding ', 'back ', '6,000 ', 'women ', 'from ', 'the ', 'top ', '33,000 ', 'jobs ', 'in ', 'Britain', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
"The new bond issue now appears to be on the bubble, with support eroding.",['on the bubble'],['on the bubble'],True,"['The ', 'new ', 'bond ', 'issue ', 'now ', 'appears ', 'to ', 'be ', 'on ', 'the ', 'bubble', ', ', 'with ', 'support ', 'eroding', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]",True
Hang a Louie up at the next stoplight.,['Hang a Louie'],['Hang a Louie'],True,"['Hang ', 'a ', 'Louie ', 'up ', 'at ', 'the ', 'next ', 'stoplight', '.']","['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 2, 2, 0, 0, 0, 0, 0, 0]",True
Hang a Ralph up at the next stoplight.,['Hang a Ralph'],['Hang a Ralph'],True,"['Hang ', 'a ', 'Ralph ', 'up ', 'at ', 'the ', 'next ', 'stoplight', '.']","['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 2, 2, 0, 0, 0, 0, 0, 0]",True
