sentence,PIEs,true_idioms,Valid,Comments
eine an den Haaren herbeigezogene Behauptung ― a far-fetched claim,['an  den  Haaren  herbeigezogene'],['an  den  Haaren  herbeigezogene'],Fix,Translation included
eine an den Haaren herbeigezogene Theorie ― a highly unlikely theory,['an  den  Haaren  herbeigezogene'],['an  den  Haaren  herbeigezogene'],Fix,Translation included
"Was würde das für ein Grund sein, wenn wir keine Wunder für diese Kinder vollbringen!",Wunder für diese Kinder vollbringen],[],Fix,idiomatic
"Das Gespräch zwischen den beiden ergibt, dass noch eine weitere Schwester existiert, Cammie, und dass Cammie oft über Nacht im Haus ihrer Freundin Sheila bleibt.",['über  Nacht'],['über  Nacht'],Fix,literal
Oftmals wurde die Kohle über Nacht gestohlen.,['über  Nacht'],['über  Nacht'],Fix,literal
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],['ohne  Trauschein'],Fix,literal
"Mit anderen Worten: Wir sind zu 95% sicher, dass wir in den letzten 95% aller Menschen liegen, die jemals geboren werden.",['Mit  anderen  Worten'],['Mit  anderen  Worten'],Fix,literal
"Mit anderen Worten, das Buch handelt von Verfahrensweisen für Versammlungen und nicht davon, was „rechtlich zulässig“ ist (d.h. es ist kein juristisches Buch).",['Mit  anderen  Worten'],['Mit  anderen  Worten'],Fix,literal
"Mit anderen Worten, der Änderungsantrag ermächtigt den Kongress, Gesetze nur zur Bekämpfung von Verletzungen der in anderen Abschnitten geschützten Rechte zu erlassen.",['Mit  anderen  Worten'],['Mit  anderen  Worten'],Fix,literal
"Mit anderen Worten: Eine Paarung ist stabil, wenn kein Match (A, B) existiert, bei dem sowohl A als auch B individuell bessergestellt wären als mit dem Element, mit dem sie gerade gematcht sind.",['Mit  anderen  Worten'],['Mit  anderen  Worten'],Fix,literal
Vorbereitung ist die halbe Miete,['halbe Miete'],['halbe Miete'],FIX,There is no period at the end of the sentence
"Lemon Drop sind sehr ertragreiche Chilipflanzen, in einem Jahr kann eine Pflanze über 100 Früchte tragen.",['Früchte tragen'],['Früchte tragen'],FIX,Literal
Das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen. (Standard German proper),['einen Strick drehen'],['einen Strick drehen'],FIX,“(Standard German proper)” at the end of the sentence
"»Ich lerne vor Klausuren und Tests, ansonsten bin ich der Meinung: Wenn ich in der Schule gut aufpasse, ist das schon mal die halbe Miete.«",['halbe Miete'],['halbe Miete'],FIX,weird » - please check original data
"Die BusinessWeek publiziert jedes Jahr eine Liste der besten und aussichtsreichsten Studienprogramme, die Designdenken mit Wirtschaftsdenken verknüpfen (D-schools 2009 und D-school Programme 2009, die man im Auge behalten sollte).",['im Auge behalten'],['im Auge behalten'],V,
Cäsar hat den Rubikon überschritten.,[den Ruikon überschreiten],[],V,
"Der PC Energie Bericht ergab, dass fast die Hälfte aller beruflich genutzten PCs in den USA über Nacht regelmäßig nicht ausgeschaltet werden.",[über Nacht],[],V,
"Kein Zeichen irgendeiner Burg konnte man sehen (obwohl wir offensichtlich schon nahe Medway waren), bis wir um die Ecke bogen, und da war sie direkt vor uns.",[um die Ecke biegen],[],V,
Durch den Wind wurden 27 Häuser in der Region zerstört.,[durch den wind],[],V,
"Wir sollten das nicht zwischen Tür und Angel besprechen. Kommen Sie doch morgen früh noch mal in mein Büro, ja?",['zwischen  Tür  und  Angel'],['zwischen  Tür  und  Angel'],V,
Ich hab mir dein Geschrei jetzt zur Genüge angehört.,['zur  Genüge'],['zur  Genüge'],V,
"Ich begriff 1963 die Bundesrepublik weder als Zünglein an der Waage noch als amerikanischen Gegenpol, noch als Speerspitze des Kalten Krieges, sondern fand, daß die Bundesrepublik ihren eigenen Part im Konzert des Westens spielen und ihren eigenen Beitrag leisten müsse - jener Verantwortung gemäß, die sie habe und die ihr niemand abnehme.",['Zünglein  an  der  Waage'],['Zünglein  an  der  Waage'],V,
"Der vorherrschende Glaube in NAWSA war, dass der Erfolg in einem großen Staat des Ostens das Zünglein an der Waage für die allgemeine Kampagne sein würde.",['Zünglein  an  der  Waage'],['Zünglein  an  der  Waage'],V,
Die Neue Demokratische Partei (Nachfolgerin der CCF) und die Social Credit Party spielten im neuen Parlament das Zünglein an der Waage.,['Zünglein  an  der  Waage'],['Zünglein  an  der  Waage'],V,
"Er führte einige Neuerungen und Verbesserungen ein, die zum Teil auch bei dieser Amphora zum Tragen kommen.",['zum  Tragen  kommen'],['zum  Tragen  kommen'],V,
"Zwei Mädchen in dieser Klasse, Chantel und Andrea, wollen ihren neuen Klassenkameraden Courtney zum Narren halten.",['zum  Narren  halten'],['zum  Narren  halten'],V,
"Die Geschichte von Rhampsinit wird heute als eine Art Satire bewertet, in denen ein König von einem bescheidenen Bürger zum Narren gehalten wird.",['zum  Narren  gehalten'],['zum  Narren  gehalten'],V,
Wohl oder übel muss Beppi jetzt ernster genommen werden als bisher.,['Wohl  oder  übel'],['Wohl  oder  übel'],V,
"Wie dem auch sei, die Grenze existiert, und eine Ostfront ist geschaffen worden, welche Nazideutschland nicht zu erstürmen wagt.",['Wie  dem  auch  sei'],['Wie  dem  auch  sei'],V,
Infolgedessen ist jede Analyse der Wirtschaft als analytisch abgrenzbare und von ihrem sozio-kulturellen und politischen Kontext isolierte Einheit von vornherein fehlerhaft.,['von  vornherein'],['von  vornherein'],V,
"Wenn du dich verzählst, musst du von vorn anfangen.",['von  vorn'],['von  vorn'],V,
Er hat seine Meinung von heute auf morgen geändert.,['von  heute  auf  morgen'],['von  heute  auf  morgen'],V,
"Diese Verordnung veränderte den Status der Häuptlinge, also der traditionellen indigenen Stammesführer, von Grund auf.",['von  Grund  auf'],['von  Grund  auf'],V,
DVDs sind von gestern. Du brauchst Blu-Ray.,['von  gestern'],['von  gestern'],V,
Ich bin doch nicht von gestern!,['von  gestern'],['von  gestern'],V,
"Im Juli desselben Jahres nahm sie Abschied von ihrem Heimatsort, ging nach Yan’an und widmete sich von ganzem Herzen der Sache des Kriegs gegen die japanische Aggression.",['von  ganzem  Herzen'],['von  ganzem  Herzen'],V,
"Ich danke allen von ganzem Herzen, die mir dies ermöglicht haben.",['von  ganzem  Herzen'],['von  ganzem  Herzen'],V,
"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.",['von  der  Hand  in  den  Mund  lebten'],['von  der  Hand  in  den  Mund  lebten'],V,
Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.,['vier  Buchstaben'],['vier  Buchstaben'],V,
"Gleich nach der Begrüßung – sich in das Fauteuil zu setzen, wozu ihm K. einlud, hatte er keine Zeit – bat er K. um ein kurzes Gespräch unter vier Augen.",['unter  vier  Augen'],['unter  vier  Augen'],V,
"Oft studierte er mit seinem Vater unter vier Augen, und was er von ihm gehört hatte, schrieb er in sein persönliches Notizbuch.",['unter  vier  Augen'],['unter  vier  Augen'],V,
"Ein bemerkenswert früher Versuch, eine zoophile soziale Struktur zu schaffen, die sich auf den sozialen und psychologischen Support spezialisierte, war die Newsgroup soc.support.zoophilia, welche 1994 vorgeschlagen wurde, aber um ein Haar an der benötigten 2/3-Mehrheit scheiterte.",['um  ein  Haar'],['um  ein  Haar'],V,
Ich werde schon über die Runden kommen.,['über  die  Runden  kommen'],['über  die  Runden  kommen'],V,
"Ich habe mich krank gemeldet, weil ich gestern Abend einen über den Durst getrunken habe.",['über  den  Durst  getrunken'],['über  den  Durst  getrunken'],V,
Stein des Anstoßes sind die folgenden Zeilen: „Vater unser im Himmel/ Geheiligt werde die Lüge/ Mein Fleisch verkomme/ Mein Wille geschehe/ Und den Himmel gib uns auf Erden/ Und vergib uns unsere Gier/ Drum führe uns jetzt in Versuchung/ Und dann erlöse uns von all dem Bösen/ Ich geb euch Liebe/ Ich geb euch Hoffnung/ Doch nur zum Schein/ Denn die Massen woll’n betrogen sein.“,['Stein  des  Anstoßes'],['Stein  des  Anstoßes'],V,
"Zumindest die Vorbehalte gegenüber den Ultraorthodoxen scheinen die Kibbuzniks mit der weiteren Gesellschaft zu teilen. Besonders die Unterstützungsleistungen, die jene beziehen, bildeten an den Protesten in Tel Aviv einen zusätzlichen Stein des Anstoßes.",['Stein  des  Anstoßes'],['Stein  des  Anstoßes'],V,
"Nur der Dirigent hatte einen Namen, der mit dem der Stadt zusammenging, und Staat machten beide Namen.",['Staat  machten'],['Staat  machten'],V,"it is ok but last part of the sentence is an inversion. furthermore the sentence would be better if it was split in two, without the last comma."
Mit uns kannst du wirklich keinen Staat machen.,['Staat  machen'],['Staat  machen'],V,
"An dieser ist ein Rettungswagen rund um die Uhr einsatzbereit, der auch außerhalb des Flughafenbereichs für die normale Notfallrettung eingesetzt wird.",['rund  um  die  Uhr'],['rund  um  die  Uhr'],V,
Alice und die Ärzte pflegten die Familie rund um die Uhr.,['rund  um  die  Uhr'],['rund  um  die  Uhr'],V,
"In den letzten 20 Jahren seines Bestehens war das Taunusheim das Zuhause von bis zu 18 Kindern und Jugendlichen im Alter von 6 bis 18 Jahren, welche rund um die Uhr in zwei Gruppen betreut wurden.",['rund  um  die  Uhr'],['rund  um  die  Uhr'],V,
"Dadurch ist es Finanzinstituten weltweit möglich, ihren elektronischen Zahlungsverkehr in Franken und Euro mit der Schweiz rund um die Uhr in Echtzeit abzuwickeln.",['rund  um  die  Uhr'],['rund  um  die  Uhr'],V,
Ein Rettungswagen der Firma MKT ist zudem rund um die Uhr an der FW 8 stationiert.,['rund  um  die  Uhr'],['rund  um  die  Uhr'],V,
"Ab 1960 standen rund um die Uhr zwei mit taktischen Atomwaffen beladene Canberra in Alarmbereitschaft, die innerhalb von 15 Minuten startklar waren.",['rund  um  die  Uhr'],['rund  um  die  Uhr'],V,
Er schenkte ihr ein offenes Ohr.,['offenes  Ohr'],['offenes  Ohr'],V,
Das interessiert mich nicht die Bohne.,['nicht  die  Bohne'],['nicht  die  Bohne'],V,
"Am folgenden Tag erklärten zwei führende Mitglieder der jüdischen Gemeinde, dass Jacksons Versuch, ein Lied gegen Diskriminierung zu verfassen, wohl nach hinten losgegangen sei.",['nach  hinten  losgegangen'],['nach  hinten  losgegangen'],V,
"Obwohl Zhang nach den 1940er Jahren intellektuell mundtot gemacht wurde, war er bis dahin ein außergewöhnlich produktiver Schreiber.",['mundtot  gemacht'],['mundtot  gemacht'],V,
Letztens hab ich im Laden zwei CDs mitgehen lassen.,['mitgehen  lassen'],['mitgehen  lassen'],V,
Er hat wieder mal mein Feuerzeug mitgehen lassen.,['mitgehen  lassen'],['mitgehen  lassen'],V,
Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.,['mit  Sack  und  Pack'],['mit  Sack  und  Pack'],V,
"Baldwin kehrte allerdings mit leeren Händen nach Richmond zurück, als er und Lincoln feststellten, dass sie aneinander vorbeigeredet hatten.",['mit  leeren  Händen'],['mit  leeren  Händen'],V,
Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.,['mit  Kind  und  Kegel'],['mit  Kind  und  Kegel'],V,
"Unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.",['mit  Kind  und  Kegel'],['mit  Kind  und  Kegel'],V,
"Am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.",['mit  Kind  und  Kegel'],['mit  Kind  und  Kegel'],V,
"Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","['mir  nichts ,  dir  nichts']","['mir  nichts ,  dir  nichts']",V,
"Er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","['mir  nichts ,  dir  nichts']","['mir  nichts ,  dir  nichts']",V,
Hat er noch was gesagt? — Nee. Er war kurz angebunden.,['kurz  angebunden'],['kurz  angebunden'],V,
"Wie der Name deutlich macht, werden marktbasierte Klimaschutzinstrumente hier keine Rolle spielen.",['keine  Rolle  spielen'],['keine  Rolle  spielen'],V,
"Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.","[""über Nacht""]",[],V,
"Eriksson ist entsetzt, dass ihre Tanten Eva bei diesem Wetter einen so langen Weg haben laufen lassen nur um Kartoffelmehl zu holen.","[""laufen lassen""]",[],V,
"Als auch eine jüdische Nachbarin zu Tode kommt, beschließt Anna, auch aktiven Widerstand zu betreiben.",['zu  Tode  kommt'],['zu  Tode  kommt'],V,
"Als die Xinhai-Revolution Shaanxi erreichte, wodurch acht Ausländer zu Tode kamen, wurde eine Evakuierung aller Missionare und Ausländer geplant.",['zu  Tode  kamen'],['zu  Tode  kamen'],V,
"Um als deutscher Beamter entlassen zu werden, muss man schon silberne Löffel klauen.",['silberne  Löffel  klauen'],['silberne  Löffel  klauen'],V,
"Mit verschwindenden Schuldnern und leihunwilligen Banken ist es kein Wunder, dass nach fast drei Jahren mit Niedrigzinsrekorden und massiven Liquiditätsspritzen die Industrieökonomien immer noch so schlecht dastehen.",['kein  Wunder'],['kein  Wunder'],V,
In den Monaten zuvor war die Umsetzung des Minsker Abkommens wiederholt ins Stocken geraten.,['ins Stocken geraten'],['ins Stocken geraten'],V,
"Sie sind gut. Das Fräulein kann jeden Tag ins Gras beißen, und das nennen Sie Liederlichkeit! Da müssen Sie sich schon näher erklären.",['ins Gras beißen'],['ins Gras beißen'],V,
"Gerade bei Menschen, die viel Wert auf ihren Titel legen, kann man hier leicht ins Fettnäpfchen treten.",['ins Fettnäpfchen treten'],['ins Fettnäpfchen treten'],V,
Die provokante Werbekampagne ist ordentlich ins Auge gegangen.,['ins Auge gegangen'],['ins Auge gegangen'],V,
"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.",['in Ungnade gefallen'],['in Ungnade gefallen'],V,
"Der vormalige „Lieblingsgeneral des Führers“ war bei Hitler in Ungnade gefallen, weil er kritische Lagevorträge zur Situation an der Westfront gehalten hatte.",['in Ungnade gefallen'],['in Ungnade gefallen'],V,
"Sie trug wesentlich dazu bei, dass der zuvor beliebte König in Ungnade fiel.",['in Ungnade fiel'],['in Ungnade fiel'],V,
"Sie unterstützte ihren Bruder leidenschaftlich, als er 1653 in Ungnade fiel, aber dies scheint weder ihre eigene noch seine Position beeinflusst zu haben.",['in Ungnade fiel'],['in Ungnade fiel'],V,
"Ich habe eine mündliche Zusage, aber ich will noch nichts sagen, bis alles in trockenen Tüchern ist.",['in trockenen Tüchern'],['in trockenen Tüchern'],V,
"Das Wasserwirtschaftsamt kann auch zum Zuge kommen. Es dauert ziemlich lange, bis das Unternehmen in trockenen Tüchern ist.",['in trockenen Tüchern'],['in trockenen Tüchern'],V,
"»Immer mit der Ruhe, alter Knabe, schön die Ruhe bewahren«, ermahnte ich mich, während ich vom Roller stieg und ihn unangekettet vor dem Hôtel du Palais stehen ließ. Die Sache war noch nicht in trockenen Tüchern.",['in trockenen Tüchern'],['in trockenen Tüchern'],V,
"Selbst als in der Nacht von Sonntag auf Montag die beiden Spitzen der Regierung, sichtlich gezeichnet vom Gesprächsmarathon, verkündigten, man habe sich auf ein aktualisiertes Regierungsprogramm einigen können, war der Pakt noch lange nicht in trockenen Tüchern.",['in trockenen Tüchern'],['in trockenen Tüchern'],V,
"Das ist die Zuchtrute Gottes, mit der Moses sein Volk in Schach gehalten hat!",['in Schach gehalten'],['in Schach gehalten'],V,
"Soldaten im englischen Zentrum und auf der rechten Seite überraschten die Männer von Leslie, wurden jedoch von den langen Piken ihrer schottischen Gegner in Schach gehalten.",['in Schach gehalten'],['in Schach gehalten'],V,
"Laut Harmon: „Ich glaube nicht, dass jemand eine dritte Staffel machen will, die einfach eine ganze Reihe von Episoden damit verbringt, sich mit einer Situation zu beschäftigen, die wir am Ende der zweiten Staffel geschaffen haben, also denke ich, das ist eine nicht-spoilerische Art zu sagen, dass die Dinge ziemlich schnell in Ordnung sein sollten“.",['in Ordnung sein'],['in Ordnung sein'],V,
Die Politiker kannste alle in einen Sack stecken und draufhauen – da triffste immer den Richtigen.,['in einen Sack stecken und draufhauen'],['in einen Sack stecken und draufhauen'],V,
"Zwischen den beiden Detekteien entwickelt sich eine Art Konkurrenzkampf, da sie sich trotz aller Freundschaft immer wieder gewollt oder ungewollt in die Quere kommen.",['in die Quere kommen'],['in die Quere kommen'],V,
"Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.",['in den Wind gesprochen'],['in den Wind gesprochen'],V,
"Der damalige Bundeskanzler hatte dem Unternehmen Bürgschaften und Darlehen in Höhe von 128 Millionen Euro zugesagt, nachdem es Milliarden in den Sand gesetzt hatte",['in den Sand gesetzt'],['in den Sand gesetzt'],V,
"Am Sonntag, dem 13. Mai 1470 wurden zuerst die Burg, dann die Stadt im Sturm genommen.",['im Sturm genommen'],['im Sturm genommen'],V,
Oder sollten sie gezielt K. im Auge behalten?,['im Auge behalten'],['im Auge behalten'],V,
"Während dieser Zeit arbeitete Blizzard jedoch hinter den Kulissen, um potentielle Teammitglieder zu engagieren, die sich zurückhalten wollten, um große, umfassende Ankündigungen anstelle von Informationen zu liefern.",['hinter den Kulissen'],['hinter den Kulissen'],V,
Behörden und die Schwulenbewegung arbeiteten erfolgreich Hand in Hand.,['Hand in Hand'],['Hand in Hand'],V,
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,['halbe Miete'],['halbe Miete'],V,
Christian trauerte lange seiner großen Liebe nach.,['großen Liebe'],['großen Liebe'],V,
Glaubst du an die große Liebe?,['große Liebe'],['große Liebe'],V,
Die Musik ist meine große Liebe.,['große Liebe'],['große Liebe'],V,
"Daraufhin sagt Sarah, dass Jonathon ihre große Liebe sei.",['große Liebe'],['große Liebe'],V,
"Hier wird nun deutlich, dass Marek nicht tot ist, sondern mit den anderen gemeinsame Sache gemacht hat.",['gemeinsame Sache gemacht'],['gemeinsame Sache gemacht'],V,
"Eine unverwechselbare Position, bei der die CDU Flagge zeigen musste, war das Recht auf Leben. Hier galt es, eindeutig Stellung zu beziehen, ungeachtet dessen, wie die Entscheidung der Mehrheit in unserem Lande ausfiel.",['Flagge zeigen'],['Flagge zeigen'],V,
