sentence,true_idioms,num_models_confused,total_models,confusion_rate,confused_models
"In San Francisco angekommen, wollen sie die Stadt bei ihrer letzten Nacht in den Vereinigten Staaten im Sturm erobern.",,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Und wollt ihr wissen, was davon das Ende ist?",ihr wissen,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Cäsar hat den Rubikon überschritten.,,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Eine Verbreiterung der Pt-Wagen war 1980 noch nicht möglich, da die ehemalige Straßenbahnstrecke in der Eckenheimer Landstraße zum damaligen Zeitpunkt noch nicht für den Einsatz von 2,65m breiten Fahrzeugen umgebaut worden war.",der Eckenheimer,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Lemon Drop sind sehr ertragreiche Chilipflanzen, in einem Jahr kann eine Pflanze über 100 Früchte tragen.",Früchte tragen,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Als die Xinhai-Revolution Shaanxi erreichte, wodurch acht Ausländer zu Tode kamen, wurde eine Evakuierung aller Missionare und Ausländer geplant.",zu Tode kamen,8,10,80.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Das Gespräch zwischen den beiden ergibt, dass noch eine weitere Schwester existiert, Cammie, und dass Cammie oft über Nacht im Haus ihrer Freundin Sheila bleibt.",über Nacht,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Der Bahnhof war aber nicht nur von feindlichen Angriffen betroffen: Am 12.September 1944 beschädigte eine außer Kontrolle geratene und abstürzende V1 den Bahnhof.,außer Kontrolle geratene,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Diese Blätter befanden sich, wie in Die Welt von gestern beschrieben, im Besitz von Stefan Zweig und sind heute Eigentum der British Library.",von gestern,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Nur der Dirigent hatte einen Namen, der mit dem der Stadt zusammenging, und Staat machten beide Namen.",Staat machten,8,10,80.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Was würde das für ein Grund sein, wenn wir keine Wunder für diese Kinder vollbringen!",,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, o3-mini"
"Als auch eine jüdische Nachbarin zu Tode kommt, beschließt Anna, auch aktiven Widerstand zu betreiben.",zu Tode kommt,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Das Feuer war bis 21:00 Uhr (00:00 UTC 3. September) außer Kontrolle geraten, es gab große Flammen und gelegentliche Explosionen, und wurde von Feuerwehrleuten aus vier Sektoren bekämpft.",außer Kontrolle geraten,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Denn selten zuvor hat ein deutscher Regisseur die unendlichen Weiten des amerikanischen Hinterlands so vortrefflich ins Bild gesetzt“.,,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro"
Die Musik ist meine große Liebe.,große Liebe,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
Hand in Hand verlassen Roger und Dolly den Gerichtssaal.,,7,10,70.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
Ich bin um Mitternacht die Ecke wieder da.,die Ecke,7,10,70.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Mit verschwindenden Schuldnern und leihunwilligen Banken ist es kein Wunder, dass nach fast drei Jahren mit Niedrigzinsrekorden und massiven Liquiditätsspritzen die Industrieökonomien immer noch so schlecht dastehen.",kein Wunder,7,10,70.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
Niemand verschwindet einfach so.,einfach so,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o-mini, o3-mini"
Oftmals wurde die Kohle über Nacht gestohlen.,über Nacht,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Später im gleichen Monat, während er auf einer politischen Kundgebung in Uruguay sang, wurden Ochs und sein damaliger Reisebegleiter, David Ifshin, verhaftet und über Nacht festgehalten.",über Nacht,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Voranschlag – entsichern – ins Ziel gehen – Feuer!,,7,10,70.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
Christian trauerte lange seiner großen Liebe nach.,großen Liebe,6,10,60.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite, gemini-2.5-pro, o3-mini"
"Dadurch ist es Finanzinstituten weltweit möglich, ihren elektronischen Zahlungsverkehr in Franken und Euro mit der Schweiz rund um die Uhr in Echtzeit abzuwickeln.",rund um die Uhr,6,10,60.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Der Brand begann, als ein kleines Feuer im Palace Cafe auf der Südseite der Straße am Memorial Day etwa um 4 Uhr morgens außer Kontrolle geriet.",außer Kontrolle geriet,6,10,60.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"In den letzten 20 Jahren seines Bestehens war das Taunusheim das Zuhause von bis zu 18 Kindern und Jugendlichen im Alter von 6 bis 18 Jahren, welche rund um die Uhr in zwei Gruppen betreut wurden.",rund um die Uhr,6,10,60.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Pampan wurde von Grund auf aus Lehmziegeln gebaut, um als neues Dorf für viele Opfer des Erdbebens zu dienen.",von Grund auf,6,10,60.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Pass auf, dass du ihm nicht auf den Schlips trittst.",auf den Schlips trittst,6,10,60.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o-mini, o3-mini"
"Pollo und Monica holen den lebenden Feuerwehrmann heraus, der erklärt, dass einige Häftlinge versuchten, den Feuerwehrwagen zu übernehmen, weshalb er außer Kontrolle geriet.",außer Kontrolle geriet,6,10,60.00%,"Llama-4-Scout-17B-16E-Instruct, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Ab 1960 standen rund um die Uhr zwei mit taktischen Atomwaffen beladene Canberra in Alarmbereitschaft, die innerhalb von 15 Minuten startklar waren.",rund um die Uhr,5,10,50.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o-mini, o3-mini"
Ania Fucz kam erst recht spät zum Kickboxen.,erst recht,5,10,50.00%,"gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Außerdem ist er einer der Unterstützer der Kampagne ""Justice for Andrew Jones"", die zum Ziel hat, die Mörder eines Jugendlichen vor Gericht zu bringen, der 2003 in Liverpool auf offener Straße zu Tode geprügelt wurde.",auf offener Straße,5,10,50.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gpt-4o, gpt-4o-mini, o3-mini"
"Da die 40 Jahre alte Heidemannbrücke zwischen den Bahnhöfen Freimann und Kieferngarten (Nordast der U6) von Grund auf saniert werden musste, war die Strecke zwischen den Bahnhöfen Studentenstadt und Kieferngarten 2013 und 2014 für jeweils 3 Monate unterbrochen.",von Grund auf,5,10,50.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
"Daraufhin sagt Sarah, dass Jonathon ihre große Liebe sei.",große Liebe,5,10,50.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o, o3-mini"
"Der Baum ist bestimmt zwanzig Meter hoch. – Ja, die Ecke.",die Ecke,5,10,50.00%,"claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o-mini, o3-mini"
"Ein begleitender menschlicher Fahrer mit einem ""roten Knopf"" garantierte, dass das Fahrzeug nicht außer Kontrolle geraten und eine Gefahr für die Öffentlichkeit werden konnte.",außer Kontrolle geraten,5,10,50.00%,"claude-3-haiku-20240307, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o-mini, o3-mini"
"Es folgten Jahre mit „normaler“ Instrumentierung, ab und zu unterstützt von Geige oder Saxophon.",ab und zu,5,10,50.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Im Mai 2006 prügelte er sich in Paris auf offener Straße mit zwei jüdischen Teenagern, von denen er einen mit Tränengas besprühte.",auf offener Straße,5,10,50.00%,"claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
Infolgedessen ist jede Analyse der Wirtschaft als analytisch abgrenzbare und von ihrem sozio-kulturellen und politischen Kontext isolierte Einheit von vornherein fehlerhaft.,von vornherein,5,10,50.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Kein Zeichen irgendeiner Burg konnte man sehen (obwohl wir offensichtlich schon nahe Medway waren), bis wir um die Ecke bogen, und da war sie direkt vor uns.",,5,10,50.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gpt-4o"
"Mit anderen Worten: Wir sind zu 95% sicher, dass wir in den letzten 95% aller Menschen liegen, die jemals geboren werden.",Mit anderen Worten,5,10,50.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, gpt-4o, gpt-4o-mini"
"Aber in der Sichtweise dieser Verfassung und vor den Augen des Gesetzes gibt es in diesem Land keine überlegene, dominierende, herrschende Klasse von Bürgern.",den Augen des Gesetzes,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, gpt-4o, gpt-4o-mini, o3-mini"
"Am Sonntag, dem 13. Mai 1470 wurden zuerst die Burg, dann die Stadt im Sturm genommen.",im Sturm genommen,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o-mini, o3-mini"
"Am nächsten Morgen jedoch stellte der Mann zu seiner Überraschung fest, dass er wirklich seinen Schatten über Nacht verloren hatte.",,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514"
"Das ist die Zuchtrute Gottes, mit der Moses sein Volk in Schach gehalten hat!",in Schach gehalten,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-sonnet-4-20250514, gemini-2.5-flash-lite"
"Die Niederlage unseres Konkurrenten muss uns erst recht anspornen, heute Abend Bestleistung zu bringen.",erst recht,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite, gpt-4o"
"Dies zusammen mit seinen Lebenserfahrungen und Erziehung brachte Birney zu der Erkenntnis, dass die Sklaverei ein für alle Mal abgeschafft werden müsse.",ein für alle Mal,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gpt-4o, gpt-4o-mini"
Ein Rettungswagen der Firma MKT ist zudem rund um die Uhr an der FW 8 stationiert.,rund um die Uhr,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
"Im Juli desselben Jahres nahm sie Abschied von ihrem Heimatsort, ging nach Yan’an und widmete sich von ganzem Herzen der Sache des Kriegs gegen die japanische Aggression.",von ganzem Herzen,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, gpt-4o, gpt-4o-mini"
"In ihrer Kunst „entdeckten sie ein neues Polen“, das ein für alle Mal durch die Gräueltaten des Zweiten Weltkriegs und die daraus resultierende Schaffung eines kommunistischen Polens verändert war.",ein für alle Mal,4,10,40.00%,"claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
"Mit anderen Worten, der Änderungsantrag ermächtigt den Kongress, Gesetze nur zur Bekämpfung von Verletzungen der in anderen Abschnitten geschützten Rechte zu erlassen.",Mit anderen Worten,4,10,40.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o-mini"
"Wenn man die Autobahn nimmt, ist man schneller da, aber wenn man über die Dörfer fährt, sieht man mehr.",,4,10,40.00%,"Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-pro"
"Wie der Name deutlich macht, werden marktbasierte Klimaschutzinstrumente hier keine Rolle spielen.",keine Rolle spielen,4,10,40.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
"An dieser ist ein Rettungswagen rund um die Uhr einsatzbereit, der auch außerhalb des Flughafenbereichs für die normale Notfallrettung eingesetzt wird.",rund um die Uhr,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o-mini"
"Baldwin kehrte allerdings mit leeren Händen nach Richmond zurück, als er und Lincoln feststellten, dass sie aneinander vorbeigeredet hatten.",mit leeren Händen,3,10,30.00%,"claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o-mini"
"Der Serienmörder Ted Bundy entführte 1974 zwei Frauen am helllichten Tag am Strand des Lake Sammamish State Park, indem er eine Verletzung vortäuschte und um ihre Hilfe bat.",am helllichten Tag,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, gpt-4o, gpt-4o-mini"
"Die Output-Signale hängen nicht nur von der Kombination der Inputs, sondern auch von der richtigen Reihenfolge der Inputs ab: Mit anderen Worten, das richtige password muss eingegeben werden.",Mit anderen Worten,3,10,30.00%,"DeepSeek-R1, gpt-4o, o3-mini"
"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.",in Ungnade gefallen,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, gpt-4o, gpt-4o-mini"
"Doch wenn, beim Barte des Propheten, die eben noch dem Untergang geweihte Firma nach zwei Monaten am gleichen Ort unter anderem Namen neu ersteht wie Phönix aus dem Wüstensand und ihre ornamentreichen Knotenwunder jetzt zu noch unglaublicheren Hammerpreisen annonciert, dann kann auch der treueste Anhänger orientalischer Märchenerzähler ins Grübeln kommen.",beim Barte des Propheten,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, gpt-4o-mini"
"Eriksson ist entsetzt, dass ihre Tanten Eva bei diesem Wetter einen so langen Weg haben laufen lassen nur um Kartoffelmehl zu holen.",,3,10,30.00%,"Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, gemini-2.5-flash-lite"
"Hier wird nun deutlich, dass Marek nicht tot ist, sondern mit den anderen gemeinsame Sache gemacht hat.",gemeinsame Sache gemacht,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, claude-sonnet-4-20250514, o3-mini"
"Im Jahr 2007 arbeitete er auch als Produzent, schrieb instrumentale Stücke und veröffentlichte seine Maxi-CD Pour ceux qui dorment les yeux ouverts („Für diejenigen, die mit offenen Augen schlafen“).",mit offenen Augen schlafen,3,10,30.00%,"DeepSeek-R1, gpt-4o-mini, o3-mini"
In jüngster Zeit werden ab und zu auch die Grünen eingeladen.,ab und zu,3,10,30.00%,"gemini-2.5-flash-lite, gpt-4o-mini, o3-mini"
"Laut Harmon: „Ich glaube nicht, dass jemand eine dritte Staffel machen will, die einfach eine ganze Reihe von Episoden damit verbringt, sich mit einer Situation zu beschäftigen, die wir am Ende der zweiten Staffel geschaffen haben, also denke ich, das ist eine nicht-spoilerische Art zu sagen, dass die Dinge ziemlich schnell in Ordnung sein sollten“.",in Ordnung sein,3,10,30.00%,"claude-3-haiku-20240307, gpt-4o, o3-mini"
"Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.",,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307"
"Mit anderen Worten: Eine Paarung ist stabil, wenn kein Match (A, B) existiert, bei dem sowohl A als auch B individuell bessergestellt wären als mit dem Element, mit dem sie gerade gematcht sind.",Mit anderen Worten,3,10,30.00%,"gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.",von der Hand in den Mund lebten,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, claude-sonnet-4-20250514"
"Sie trug wesentlich dazu bei, dass der zuvor beliebte König in Ungnade fiel.",in Ungnade fiel,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gpt-4o-mini"
"Sie unterstützte ihren Bruder leidenschaftlich, als er 1653 in Ungnade fiel, aber dies scheint weder ihre eigene noch seine Position beeinflusst zu haben.",in Ungnade fiel,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gpt-4o-mini"
Sie wohnen ohne Trauschein zusammen.,ohne Trauschein,3,10,30.00%,"DeepSeek-R1, gpt-4o-mini, o3-mini"
Unter dem 6. Baronet wurde das Haus von Grund auf modernisiert.,von Grund auf,3,10,30.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gpt-4o-mini"
"Wie dem auch sei, die Grenze existiert, und eine Ostfront ist geschaffen worden, welche Nazideutschland nicht zu erstürmen wagt.",Wie dem auch sei,3,10,30.00%,"Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite, gpt-4o-mini"
"Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.",die Ecke,3,10,30.00%,"gemini-2.5-flash-lite, gpt-4o-mini, o3-mini"
Während seiner langen Jahre im Kongress brach er ab und zu mit seinen Südstaatenkollegen und folgte seinem eigenen Gewissen.,ab und zu,3,10,30.00%,"gemini-2.5-flash-lite, gpt-4o-mini, o3-mini"
"1891, E. Rohmer., Allgemeine Deutsche Biographie: Schulthess, Heinrich Er ließ sich in München nieder und trat zunächst als Mitglied in die Redaction der von dem ihm bei öfteren Besuchen in Deutschland befreundet gewordenen Dr. Karl Brater begründeten und geleiteten „Süddeutschen Zeitung“ ein, „welche damals in täglichem Kampfe den Boden bereiten half für die Einigung Deutschlands unter Preußens Führung“",den Boden bereiten,2,10,20.00%,"gemini-2.5-flash-lite, gpt-4o-mini"
"Aber auch andere Mütter haben schöne Töchter, die sich Honda, Toyota, Souza Cruz, Bandeirante, UOL, GM, Ford, Esso, Fiat, TIM und Pirelli nennen, um nur einige der nichtdeutschen ausländischen Firmen unter den 500 Größten aufzuführen.",auch andere Mütter haben schöne Töchter,2,10,20.00%,"gemini-2.5-flash-lite, gpt-4o-mini"
"Als die Beziehung ans Licht kommt, gibt es zunächst Probleme, die mit Christians Hilfe aber wieder beigelegt werden können.",ans Licht kommt,2,10,20.00%,"claude-3-haiku-20240307, gpt-4o-mini"
Am 8. November wurden im Gegenzug christliche Kirchen ins Visier genommen.,ins Visier genommen,2,10,20.00%,"claude-3-haiku-20240307, gemini-2.5-flash-lite"
