sentence,true_idioms,num_models_confused,total_models,confusion_rate,confused_models
"Der PC Energie Bericht ergab, dass fast die Hälfte aller beruflich genutzten PCs in den USA über Nacht regelmäßig nicht ausgeschaltet werden.",,2,10,20.00%,"Qwen2.5-72B-Instruct-Turbo, claude-sonnet-4-20250514"
"Der damalige Bundeskanzler hatte dem Unternehmen Bürgschaften und Darlehen in Höhe von 128 Millionen Euro zugesagt, nachdem es Milliarden in den Sand gesetzt hatte",in den Sand gesetzt,2,10,20.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307"
"Der vormalige „Lieblingsgeneral des Führers“ war bei Hitler in Ungnade gefallen, weil er kritische Lagevorträge zur Situation an der Westfront gehalten hatte.",in Ungnade gefallen,2,10,20.00%,"Llama-4-Scout-17B-16E-Instruct, gpt-4o-mini"
"Die Flagge zeigt drei horizontale Streifen in Gelb (für das Gold des Nordens), Schwarz (dafür, dass der Norden von der Regierung in Bangui aufgegeben wurde) und Grün (für die Fruchtbarkeit des Landes).",,2,10,20.00%,"Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307"
"Die Mutter besucht ihre Tochter nur ab und zu, aber während einer dieser Gelegenheiten kommt ihr die Idee, ihre Tochter sei ein potenzielles Fotomodell.",ab und zu,2,10,20.00%,"gpt-4o-mini, o3-mini"
Die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.,außer Frage,2,10,20.00%,"gpt-4o, gpt-4o-mini"
Die provokante Werbekampagne ist ordentlich ins Auge gegangen.,ins Auge gegangen,2,10,20.00%,"claude-3-haiku-20240307, claude-sonnet-4-20250514"
"Diese Verordnung veränderte den Status der Häuptlinge, also der traditionellen indigenen Stammesführer, von Grund auf.",von Grund auf,2,10,20.00%,"Llama-4-Scout-17B-16E-Instruct, gpt-4o-mini"
Durch den Wind wurden 27 Häuser in der Region zerstört.,,2,10,20.00%,"Qwen2.5-72B-Instruct-Turbo, gpt-4o-mini"
"Ein weiterer Aspekt seiner Kreativität zeigte sich ab Mitte der 1920er Jahre, als er, vielleicht beeinflusst von der großen Liebe seines Vaters zur Literatur begann, Theaterstücke und Bücher zu schreiben.",,2,10,20.00%,"Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307"
"Er führte einige Neuerungen und Verbesserungen ein, die zum Teil auch bei dieser Amphora zum Tragen kommen.",zum Tragen kommen,2,10,20.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite"
Glaubst du an die große Liebe?,große Liebe,2,10,20.00%,"DeepSeek-R1, gemini-2.5-flash-lite"
Gottfried Wagner: Wer nicht mit dem Wolf heult.,mit dem Wolf heult,2,10,20.00%,"claude-3-haiku-20240307, claude-sonnet-4-20250514"
"Hinter den Kulissen dieser nur scheinbar harmlosen Vergnügungseinrichtung laufen schließlich die Fäden zusammen, werden Morde vorbereitet und Informationen ausgetauscht.",Hinter den Kulissen,2,10,20.00%,"gemini-2.5-flash-lite, gpt-4o"
Ich hab mir dein Geschrei jetzt zur Genüge angehört.,zur Genüge,2,10,20.00%,"Qwen2.5-72B-Instruct-Turbo, o3-mini"
"Im Drehbuch wissen wir, wer Mazer Rackham wirklich ist, und wir wissen auch, was auf dem Spiel steht, wenn Ender seine Spiele spielt.",auf dem Spiel,2,10,20.00%,"gemini-2.5-flash-lite, gpt-4o-mini"
"In Irland wurde ein Flugzeug von einem Bewohner der Stadt Dungarvan gemeldet und ein katholischer Priester berichtete von einer Sichtung über dem Dorf Carrigaholt, danach wurden keine weiteren verifizierten Berichte gemacht.",,2,10,20.00%,"Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307"
"In der Episode beginnt der „Mann in Schwarz“ (Terry O’Quinn) seinen Plan zur Zerstörung der Insel in die Tat umzusetzen, während Jack Shephard (Matthew Fox) versucht, ihn ein für alle Mal aufzuhalten.",ein für alle Mal,2,10,20.00%,"gemini-2.5-flash-lite, gpt-4o-mini"
"Man muss auch gönnen können, zum Beispiel dem anderen die Traumfrau – auch andere Mütter haben schöne Töchter. Setzen Sie ein „Leben und leben lassen“ dagegen, seien Sie cool und gönnerhaft, dann fällt automatisch für Sie auch was ab.",auch andere Mütter haben schöne Töchter,2,10,20.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307"
"Soldaten im englischen Zentrum und auf der rechten Seite überraschten die Männer von Leslie, wurden jedoch von den langen Piken ihrer schottischen Gegner in Schach gehalten.",in Schach gehalten,2,10,20.00%,"Llama-4-Scout-17B-16E-Instruct, gpt-4o-mini"
"Wenn du dich verzählst, musst du von vorn anfangen.",von vorn,2,10,20.00%,"gemini-2.5-pro, gpt-4o-mini"
"Aksel hofft, dass die Wahrheit ans Licht kommt und er endlich von dem alten Verdacht reingewaschen wird.",ans Licht kommt,1,10,10.00%,claude-3-haiku-20240307
Alice und die Ärzte pflegten die Familie rund um die Uhr.,rund um die Uhr,1,10,10.00%,gpt-4o-mini
"Am folgenden Tag erklärten zwei führende Mitglieder der jüdischen Gemeinde, dass Jacksons Versuch, ein Lied gegen Diskriminierung zu verfassen, wohl nach hinten losgegangen sei.",nach hinten losgegangen,1,10,10.00%,claude-3-haiku-20240307
DVDs sind von gestern. Du brauchst Blu-Ray.,von gestern,1,10,10.00%,gpt-4o-mini
"Die BusinessWeek publiziert jedes Jahr eine Liste der besten und aussichtsreichsten Studienprogramme, die Designdenken mit Wirtschaftsdenken verknüpfen (D-schools 2009 und D-school Programme 2009, die man im Auge behalten sollte).",im Auge behalten,1,10,10.00%,gpt-4o-mini
"Die Geschichte von Rhampsinit wird heute als eine Art Satire bewertet, in denen ein König von einem bescheidenen Bürger zum Narren gehalten wird.",zum Narren gehalten,1,10,10.00%,Llama-4-Scout-17B-16E-Instruct
"Diese Struktur ist in der gravitätischen Kartierung von 1965 enthalten, doch existiert kein Kommentar dazu.",,1,10,10.00%,Qwen2.5-72B-Instruct-Turbo
"Ein Teil des Volkes ist der Abweichung heimgefallen und hat diejenigen, die ihnen folgten vom rechten Weg abgebracht.",vom rechten Weg abgebracht,1,10,10.00%,gemini-2.5-flash-lite
"Ein bemerkenswert früher Versuch, eine zoophile soziale Struktur zu schaffen, die sich auf den sozialen und psychologischen Support spezialisierte, war die Newsgroup soc.support.zoophilia, welche 1994 vorgeschlagen wurde, aber um ein Haar an der benötigten 2/3-Mehrheit scheiterte.",um ein Haar,1,10,10.00%,gpt-4o-mini
"Eine Generation, die ein paar Dinge geändert hat, aber auch viele andere Arten von Veränderungen erfuhr, über die sie keine Kontrolle hatte, so dass einige von uns auf der Strecke bleiben mussten.",auf der Strecke bleiben,1,10,10.00%,gpt-4o-mini
"Eine unverwechselbare Position, bei der die CDU Flagge zeigen musste, war das Recht auf Leben. Hier galt es, eindeutig Stellung zu beziehen, ungeachtet dessen, wie die Entscheidung der Mehrheit in unserem Lande ausfiel.",Flagge zeigen,1,10,10.00%,gpt-4o-mini
"Electronic Arts und Image Comics haben eine Comic-Buch-Reihe, basierend auf dem Spiel am 21. Februar 2008 angekündigt.",,1,10,10.00%,Qwen2.5-72B-Instruct-Turbo
"Er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","mir nichts, dir nichts",1,10,10.00%,o3-mini
Hinter den Kulissen gab es jedoch Spannungen zwischen Wood und Warner Music.,Hinter den Kulissen,1,10,10.00%,gpt-4o-mini
"Ich danke allen von ganzem Herzen, die mir dies ermöglicht haben.",von ganzem Herzen,1,10,10.00%,gpt-4o-mini
"Ich habe mich krank gemeldet, weil ich gestern Abend einen über den Durst getrunken habe.",über den Durst getrunken,1,10,10.00%,claude-3-haiku-20240307
Irn-Bru ist für die leuchtend orange Farbe bekannt.,,1,10,10.00%,Qwen2.5-72B-Instruct-Turbo
"Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","mir nichts, dir nichts",1,10,10.00%,claude-3-haiku-20240307
"Mit anderen Worten, das Buch handelt von Verfahrensweisen für Versammlungen und nicht davon, was „rechtlich zulässig“ ist (d.h. es ist kein juristisches Buch).",Mit anderen Worten,1,10,10.00%,gpt-4o-mini
"Obwohl Zhang nach den 1940er Jahren intellektuell mundtot gemacht wurde, war er bis dahin ein außergewöhnlich produktiver Schreiber.",mundtot gemacht,1,10,10.00%,gpt-4o-mini
Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.,vier Buchstaben,1,10,10.00%,claude-3-haiku-20240307
Stein des Anstoßes sind die folgenden Zeilen: „Vater unser im Himmel/ Geheiligt werde die Lüge/ Mein Fleisch verkomme/ Mein Wille geschehe/ Und den Himmel gib uns auf Erden/ Und vergib uns unsere Gier/ Drum führe uns jetzt in Versuchung/ Und dann erlöse uns von all dem Bösen/ Ich geb euch Liebe/ Ich geb euch Hoffnung/ Doch nur zum Schein/ Denn die Massen woll’n betrogen sein.“,Stein des Anstoßes,1,10,10.00%,gemini-2.5-flash-lite
Wir haben sie am Tag vorher angerufen und da hat sie über Nacht ein Gedicht für Omas Geburtstag aus dem Ärmel geschüttelt.,aus dem Ärmel geschüttelt,1,10,10.00%,claude-3-haiku-20240307
"Wir wurden eingeschüchtert, damit wir den Streik absagen, aber jetzt streiken wir erst recht.",erst recht,1,10,10.00%,Qwen2.5-72B-Instruct-Turbo
"Während dieser Zeit arbeitete Blizzard jedoch hinter den Kulissen, um potentielle Teammitglieder zu engagieren, die sich zurückhalten wollten, um große, umfassende Ankündigungen anstelle von Informationen zu liefern.",hinter den Kulissen,1,10,10.00%,gpt-4o-mini
"„Freund, ein Junge muß sich die Hörner abstoßen.“ „Ganz recht, Herzog; wir haben auch unsere Flegeljahre gehabt. Aber bei meinem Friedemann dauern diese Jahre zu lange. Er ist Soldat gewesen, zählt jetzt vierundzwanzig—nun, bei meiner armen Seele, da kann er sich die Hörner wohl abgestoßen haben.“",sich die Hörner abstoßen,1,10,10.00%,DeepSeek-R1
"2002 erklärte sie, die palästinensischen Terroranschläge seien zwar nicht zu rechtfertigen, doch habe die israelische Politik ihnen „den Weg geebnet“.",den Weg geebnet,0,10,0.00%,
Alle Verwaltungen der USA schienen gleichzeitig am Ende der Fahnenstange angelangt. Die Staaten kämpften mit Defiziten in Milliardenhöhe.,Ende der Fahnenstange,0,10,0.00%,
"Am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.",mit Kind und Kegel,0,10,0.00%,
Angelina Jolie und Brad Pitt sind mit Kind und Kegel in Nizza angekommen.,mit Kind und Kegel,0,10,0.00%,
Behörden und die Schwulenbewegung arbeiteten erfolgreich Hand in Hand.,Hand in Hand,0,10,0.00%,
Bist du ans andere Ufer gewechselt?,andere Ufer,0,10,0.00%,
"Da hat der Kanzlerkandidat Gerhard Schröder beim Barte des Propheten geschworen, die Renten nicht zu kürzen.",beim Barte des Propheten,0,10,0.00%,
Dabei blieb er allerdings politisch eher ein Hinterbänkler und blieb stets ein Dorn im Auge der Ministerialbürokratie.,Dorn im Auge,0,10,0.00%,
Darauf wies auch Peter Swarber hin: Die Stadt habe sich bezahlen lassen und dafür eine befristete Sicherheitsgarantie – mit Brief und Siegel – gegeben.,Brief und Siegel,0,10,0.00%,
Das Ende der Fahnenstange ist noch lange nicht erreicht.,Ende der Fahnenstange,0,10,0.00%,
"Das Wasserwirtschaftsamt kann auch zum Zuge kommen. Es dauert ziemlich lange, bis das Unternehmen in trockenen Tüchern ist.",in trockenen Tüchern,0,10,0.00%,
Das ganze Projekt steht auf der Kippe.,auf der Kippe,0,10,0.00%,
Das interessiert mich nicht die Bohne.,nicht die Bohne,0,10,0.00%,
"Das muss, beim Barte des Propheten, ganz wundervoll sein!",beim Barte des Propheten,0,10,0.00%,
Das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen. (Standard German proper),einen Strick drehen,0,10,0.00%,
Der gute Ruf von Volkswagen stand in Afrika auf dem Spiel.,auf dem Spiel,0,10,0.00%,
"Der vorherrschende Glaube in NAWSA war, dass der Erfolg in einem großen Staat des Ostens das Zünglein an der Waage für die allgemeine Kampagne sein würde.",Zünglein an der Waage,0,10,0.00%,
Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.,an die Kandare nehmen,0,10,0.00%,
Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.,mit Kind und Kegel,0,10,0.00%,
Die Neue Demokratische Partei (Nachfolgerin der CCF) und die Social Credit Party spielten im neuen Parlament das Zünglein an der Waage.,Zünglein an der Waage,0,10,0.00%,
Die Politiker kannste alle in einen Sack stecken und draufhauen – da triffste immer den Richtigen.,in einen Sack stecken und draufhauen,0,10,0.00%,
Er hat seine Meinung von heute auf morgen geändert.,von heute auf morgen,0,10,0.00%,
Er hat wieder mal mein Feuerzeug mitgehen lassen.,mitgehen lassen,0,10,0.00%,
Er schenkte ihr ein offenes Ohr.,offenes Ohr,0,10,0.00%,
"Es muß darüber nachgedacht werden, ob nicht zumindest zusätzlich Sperren angezeigt sind, damit der Durchgriff durch die Verfahrensordnung des Gesetzes gegen Wettbewerbsbeschränkungen im Rahmen der Fusionskontrolle auf die mit der endgültigen Entscheidungskompetenz ausgestattete politische Instanz nicht zu früh und nicht zu schnell oder gar vor Einleitung des formalen Verfahrens bereits erfolgt, so daß die Bevölkerung draußen mit großer Ermutigung über die Entschlossenheit, Wettbewerbsbeschränkungen zu bekämpfen, Kartellverfahren und anschließende Streitereien miterlebt, ohne zu wissen, daß der Tatbestand politisch längst in trockenen Tüchern ist.",in trockenen Tüchern,0,10,0.00%,
"Exzellente Produktion- ein richtig fetter Sound; eine Menge Energie und exzellente Lieder, die man nicht mehr aus dem Kopf bekommt.",aus dem Kopf,0,10,0.00%,
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,halbe Miete,0,10,0.00%,
"Gerade bei Menschen, die viel Wert auf ihren Titel legen, kann man hier leicht ins Fettnäpfchen treten.",ins Fettnäpfchen treten,0,10,0.00%,
"Gleich nach der Begrüßung – sich in das Fauteuil zu setzen, wozu ihm K. einlud, hatte er keine Zeit – bat er K. um ein kurzes Gespräch unter vier Augen.",unter vier Augen,0,10,0.00%,
"Haste kein’n Arsch in der Hose, oder was?",Arsch in der Hose,0,10,0.00%,
Hat er noch was gesagt? — Nee. Er war kurz angebunden.,kurz angebunden,0,10,0.00%,
Heiliger Strohsack das ist für manchen starker Tobak / Ich komm mit Bildern wie Kodak und bin der Mann für jede Tonart,starker Tobak,0,10,0.00%,
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,beleidigte Leberwurst,0,10,0.00%,
"Ich begriff 1963 die Bundesrepublik weder als Zünglein an der Waage noch als amerikanischen Gegenpol, noch als Speerspitze des Kalten Krieges, sondern fand, daß die Bundesrepublik ihren eigenen Part im Konzert des Westens spielen und ihren eigenen Beitrag leisten müsse - jener Verantwortung gemäß, die sie habe und die ihr niemand abnehme.",Zünglein an der Waage,0,10,0.00%,
Ich bin doch nicht von gestern!,von gestern,0,10,0.00%,
"Ich habe eine mündliche Zusage, aber ich will noch nichts sagen, bis alles in trockenen Tüchern ist.",in trockenen Tüchern,0,10,0.00%,
"Ich war völlig durch den Wind, als ich sie das erste Mal gesehen hab.",durch den Wind,0,10,0.00%,
Ich werde schon über die Runden kommen.,über die Runden kommen,0,10,0.00%,
"In dem Augenblick verschwand das Schloß, und sie saßen wieder in der alten Hütte. „Nun hast dus,“ sagte der Mann, „jetzt können wir wieder am Hungertuch nagen.“ „Ach,“ sprach die Frau, „ich will den Reichthum lieber nicht, wenn ich nicht weiß von wem er kommt, sonst habe ich doch keine Ruhe.“",am Hungertuch nagen,0,10,0.00%,
In den Monaten zuvor war die Umsetzung des Minsker Abkommens wiederholt ins Stocken geraten.,ins Stocken geraten,0,10,0.00%,
"In einer detaillierten Aufschlüsselung des gesamten readings berichtet Gerbic, dass Thicke unmittelbar nach den obigen Aussagen scherzte: ""Danke, Doktor Henry, ich werde mir das zu Herzen nehmen"".",zu Herzen nehmen,0,10,0.00%,
Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?,Butter bei die Fische,0,10,0.00%,
Keine zehn Pferde könnten mich dahin kriegen.,Keine zehn Pferde,0,10,0.00%,
"Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!",Butter bei die Fische,0,10,0.00%,
"Lass mich erst mal überlegen, ich bin noch etwas durch den Wind.",durch den Wind,0,10,0.00%,
Letztens hab ich im Laden zwei CDs mitgehen lassen.,mitgehen lassen,0,10,0.00%,
"Macrons Behauptung, die Nato sei hirntot, ist starker Tobak. Komatös hätte es wohl auch getan. Aber im Kern hat er recht.",starker Tobak,0,10,0.00%,
"Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.",in den Wind gesprochen,0,10,0.00%,
Mit uns kannst du wirklich keinen Staat machen.,Staat machen,0,10,0.00%,
Oder sollten sie gezielt K. im Auge behalten?,im Auge behalten,0,10,0.00%,
"Oft studierte er mit seinem Vater unter vier Augen, und was er von ihm gehört hatte, schrieb er in sein persönliches Notizbuch.",unter vier Augen,0,10,0.00%,
Ohne Beute mussten die Täter Fersengeld geben.,Fersengeld geben,0,10,0.00%,
"Sandy und Rose sind die zwei Mädchen, für die Jean Brodie die meisten Hoffnungen hat, dass sie eines Tages zur crème de la crème gehören werden.",crème de la crème,0,10,0.00%,
Sei nicht so’ne beleidigte Leberwurst!,beleidigte Leberwurst,0,10,0.00%,
"Selbst als in der Nacht von Sonntag auf Montag die beiden Spitzen der Regierung, sichtlich gezeichnet vom Gesprächsmarathon, verkündigten, man habe sich auf ein aktualisiertes Regierungsprogramm einigen können, war der Pakt noch lange nicht in trockenen Tüchern.",in trockenen Tüchern,0,10,0.00%,
"Sie sind gut. Das Fräulein kann jeden Tag ins Gras beißen, und das nennen Sie Liederlichkeit! Da müssen Sie sich schon näher erklären.",ins Gras beißen,0,10,0.00%,
"Um als deutscher Beamter entlassen zu werden, muss man schon silberne Löffel klauen.",silberne Löffel klauen,0,10,0.00%,
"Unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.",mit Kind und Kegel,0,10,0.00%,
Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.,mit Sack und Pack,0,10,0.00%,
Unsere besten Männer sind im Feld geblieben.,im Feld geblieben,0,10,0.00%,
Vorbereitung ist die halbe Miete,halbe Miete,0,10,0.00%,
Wir haben dieses Geschäft von Grund auf aufgebaut.,von Grund auf,0,10,0.00%,
Wir haben gequatscht bis in die Puppen / Und vorher gingen wir sinnlos Shoppen,bis in die Puppen,0,10,0.00%,
"Wir sollten das nicht zwischen Tür und Angel besprechen. Kommen Sie doch morgen früh noch mal in mein Büro, ja?",zwischen Tür und Angel,0,10,0.00%,
Wohl oder übel muss Beppi jetzt ernster genommen werden als bisher.,Wohl oder übel,0,10,0.00%,
"Zu dem Zeitpunkt erlaubten NZPO2 und ich, den Schnaps auszugeben, der den Absturz überstanden hatte, und wir feierten eine Party (makaber, aber wir mussten einfach Dampf ablassen).",Dampf ablassen,0,10,0.00%,
"Zumindest die Vorbehalte gegenüber den Ultraorthodoxen scheinen die Kibbuzniks mit der weiteren Gesellschaft zu teilen. Besonders die Unterstützungsleistungen, die jene beziehen, bildeten an den Protesten in Tel Aviv einen zusätzlichen Stein des Anstoßes.",Stein des Anstoßes,0,10,0.00%,
"Zwei Mädchen in dieser Klasse, Chantel und Andrea, wollen ihren neuen Klassenkameraden Courtney zum Narren halten.",zum Narren halten,0,10,0.00%,
"Zwischen den beiden Detekteien entwickelt sich eine Art Konkurrenzkampf, da sie sich trotz aller Freundschaft immer wieder gewollt oder ungewollt in die Quere kommen.",in die Quere kommen,0,10,0.00%,
eine an den Haaren herbeigezogene Behauptung ― a far-fetched claim,an den Haaren herbeigezogene,0,10,0.00%,
eine an den Haaren herbeigezogene Theorie ― a highly unlikely theory,an den Haaren herbeigezogene,0,10,0.00%,
"»Ich lerne vor Klausuren und Tests, ansonsten bin ich der Meinung: Wenn ich in der Schule gut aufpasse, ist das schon mal die halbe Miete.«",halbe Miete,0,10,0.00%,
"»Immer mit der Ruhe, alter Knabe, schön die Ruhe bewahren«, ermahnte ich mich, während ich vom Roller stieg und ihn unangekettet vor dem Hôtel du Palais stehen ließ. Die Sache war noch nicht in trockenen Tüchern.",in trockenen Tüchern,0,10,0.00%,
"»Völlig ausgeschlossen, daß dieser Mann fünfundzwanzig Jahre nicht Schach gespielt haben soll! Er hat doch jeden Zug, jede Gegenpointe auf fünf, auf sechs Züge vorausberechnet. So etwas kann niemand aus dem Handgelenk. Das ist doch völlig ausgeschlossen – nicht wahr?«",aus dem Handgelenk,0,10,0.00%,
Über Nacht blühte die Popularität von Hope und sie wurde ein Hit mit den coolen Mädchen.,Über Nacht,0,10,0.00%,
