model,prompt_type,seed,sc_runs,temperature,shots,english_acc,english_f1,english_hallucinations,english_precision,english_recall,german_acc,german_f1,german_hallucinations,german_precision,german_recall,italian_acc,italian_f1,italian_hallucinations,italian_precision,italian_recall,spanish_acc,spanish_f1,spanish_hallucinations,spanish_precision,spanish_recall
Qwen/Qwen2.5-72B-Instruct-Turbo,few_shot_cot_best,42,5,0.8,10,,,,,,0.948332965334511,0.8344170447654249,0.0,0.8040823829655045,0.8719820727030648,,,,,,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,few_shot_cot_best,43,5,0.8,10,,,,,,0.9580481342459704,0.8620137775641336,0.0,0.8359955806999272,0.8922948566510801,,,,,,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,few_shot_cot_best,44,5,0.8,10,,,,,,0.9518657540295872,0.8399047032368747,0.0,0.8139261239533556,0.8715674645842587,,,,,,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,zero_shot,42,1,0.3,0,,,,,,0.9342018105542064,0.7986735780528228,0.0,0.765924862300449,0.841988136653418,,,,,,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,zero_shot,43,1,0.3,0,,,,,,0.9379553985427248,0.8062735171040174,0.0,0.7720564591803903,0.8509316635175196,,,,,,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,zero_shot,44,1,0.3,0,,,,,,0.9353058070214176,0.8042512331065081,0.0,0.7693255415730338,0.8508818078993429,,,,,,,,,,
claude-3-haiku-20240307,few_shot_cot_best,42,5,0.8,10,,,,,,0.8785603886067564,0.346395719020759,190.0,0.7396021532642344,0.3507955760583751,,,,,,,,,,
claude-3-haiku-20240307,few_shot_cot_best,43,5,0.8,10,,,,,,0.8772355928461029,0.325673513238672,198.0,0.6815052494406334,0.3402175001287139,,,,,,,,,,
claude-3-haiku-20240307,few_shot_cot_best,44,5,0.8,10,,,,,,0.8792227864870833,0.362760466625699,192.0,0.7403174603174603,0.3593641475374917,,,,,,,,,,
claude-3-haiku-20240307,zero_shot,42,1,0.3,0,,,,,,0.8814307794215058,0.5510057130996604,105.0,0.6378125351019617,0.5076615118100397,,,,,,,,,,
claude-3-haiku-20240307,zero_shot,43,1,0.3,0,,,,,,0.8737028041510267,0.5464108665360914,100.0,0.6075501295784906,0.5114398278541402,,,,,,,,,,
claude-3-haiku-20240307,zero_shot,44,1,0.3,0,,,,,,0.8695076175756238,0.5232120225715401,107.0,0.5905016227058666,0.4882528357803162,,,,,,,,,,
claude-sonnet-4-20250514,few_shot_cot_best,42,5,0.8,10,,,,,,0.971296091852506,0.8945414855240034,0.0,0.911854646598814,0.8790974171262937,,,,,,,,,,
claude-sonnet-4-20250514,zero_shot,42,1,0.3,0,,,,,,0.9487745639213956,0.8361544943264071,0.0,0.8328779687724733,0.8404692846551973,,,,,,,,,,
gemini-2.5-flash-lite,few_shot_cot_best,42,5,0.8,10,,,,,,0.9540737469640096,0.8483899709769004,0.0,0.8374831907956172,0.8607178448045115,,,,,,,,,,
gemini-2.5-flash-lite,few_shot_cot_best,43,5,0.8,10,,,,,,0.9529697504967984,0.8507772493241573,0.0,0.8393325336782035,0.8633276931704966,,,,,,,,,,
gemini-2.5-flash-lite,few_shot_cot_best,44,5,0.8,10,,,,,,0.947670567454184,0.8269057125985265,0.0,0.8155746859980807,0.8402209427103234,,,,,,,,,,
gemini-2.5-flash-lite,zero_shot,42,1,0.3,0,,,,,,0.9315522190328992,0.7625275171724519,0.0,0.7898118865944089,0.7394222060827862,,,,,,,,,,
gemini-2.5-flash-lite,zero_shot,43,1,0.3,0,,,,,,0.9317730183263414,0.7626335910212049,0.0,0.7910594002951656,0.7387059166092134,,,,,,,,,,
gemini-2.5-flash-lite,zero_shot,44,1,0.3,0,,,,,,0.9326562155001104,0.7664334723871583,0.0,0.7992099703626602,0.7391989002004155,,,,,,,,,,
gemini-2.5-pro,few_shot_cot_best,42,5,0.8,10,,,,,,0.9648929123426804,0.8790014263076994,0.0,0.8565698356597364,0.9048142644432454,,,,,,,,,,
gemini-2.5-pro,zero_shot,42,1,0.3,0,,,,,,0.9496577610951644,0.8443157460901124,0.0,0.806854504551508,0.8913485422024973,,,,,,,,,,
gpt-4o,zero_shot,42,1,0.3,0,,,,,,0.9448001766394348,0.8107020295158874,0.0,0.8277114313235558,0.7964313058685342,,,,,,,,,,
gpt-4o-mini,zero_shot,42,1,0.3,0,,,,,,0.9189666593066902,0.706548811075283,0,0.7615686968747676,0.6666744559919305,,,,,,,,,,
gpt-4o-mini,zero_shot,43,1,0.3,0,,,,,,0.9209538529476704,0.7147269145597507,0.0,0.7706555725752354,0.6741462161726884,,,,,,,,,,
gpt-4o-mini,zero_shot,44,1,0.3,0,,,,,,0.9180834621329212,0.702969994663878,0.0,0.7613232815680755,0.6613800840861107,,,,,,,,,,
meta-llama/Llama-4-Scout-17B-16E-Instruct,zero_shot,42,1,0.3,0,,,,,,0.9311106204460146,0.7658403185856871,0.0,0.8020109246233799,0.7358820290992044,,,,,,,,,,
meta-llama/Llama-4-Scout-17B-16E-Instruct,zero_shot,43,1,0.3,0,,,,,,0.9328770147935528,0.7720550710513722,0.0,0.8074703756333862,0.7424696159819959,,,,,,,,,,
meta-llama/Llama-4-Scout-17B-16E-Instruct,zero_shot,44,1,0.3,0,,,,,,0.9330978140869948,0.7739892645566212,0.0,0.8072972685080476,0.7459116993796862,,,,,,,,,,
o3-mini,zero_shot,42,1,0.3,0,,,,,,0.9421505851181275,0.8018907924330404,0.0,0.8183329996846892,0.7879074885654163,,,,,,,,,,
